"","file_type","stain_type","donor","region","s3_uri","annotation_name"
"1","RAW_IMAGE_DEEPZOOM","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/downsampled/H19.33.004-A01-AT-primary/H19.33.004-A01-AT-primary.dzi",NA
"2","RAW_IMAGE","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/H19.33.004-A01-AT.svs",NA
"3","HALO_ANALYSIS_IMAGE_DEEPZOOM","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/downsampled/H19.33.004-A01-AT-analysis/H19.33.004-A01-AT-analysis.dzi",NA
"4","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/analysis_masks/H19.33.004-A01-AT_Layer1_analysis.annotations","Layer1"
"5","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/analysis_masks/H19.33.004-A01-AT_Layer2_analysis.annotations","Layer2"
"6","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/analysis_masks/H19.33.004-A01-AT_Layer3_analysis.annotations","Layer3"
"7","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/analysis_masks/H19.33.004-A01-AT_Layer4_analysis.annotations","Layer4"
"8","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-AT/analysis_masks/H19.33.004-A01-AT_Layer5-6_analysis.annotations","Layer5-6"
"9","RAW_IMAGE_DEEPZOOM","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/downsampled/H19.33.004-A1-I6-primary/H19.33.004-A1-I6-primary.dzi",NA
"10","RAW_IMAGE","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/H19.33.004-A1-I6.svs",NA
