"","file_type","stain_type","donor","region","s3_uri","annotation_name"
"11","HALO_ANALYSIS_IMAGE_DEEPZOOM","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/downsampled/H19.33.004-A1-I6-analysis/H19.33.004-A1-I6-analysis.dzi",NA
"12","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/analysis_masks/H19.33.004-A1-I6_Layer1_analysis.annotations","Layer1"
"13","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/analysis_masks/H19.33.004-A1-I6_Layer2_analysis.annotations","Layer2"
"14","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/analysis_masks/H19.33.004-A1-I6_Layer3_analysis.annotations","Layer3"
"15","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/analysis_masks/H19.33.004-A1-I6_Layer4_analysis.annotations","Layer4"
"16","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-I6/analysis_masks/H19.33.004-A1-I6_Layer5-6_analysis.annotations","Layer5-6"
"17","RAW_IMAGE_DEEPZOOM","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/downsampled/H19.33.004-A1-GFAP-primary/H19.33.004-A1-GFAP-primary.dzi",NA
"18","RAW_IMAGE","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/H19.33.004-A1-GFAP.svs",NA
"19","HALO_ANALYSIS_IMAGE_DEEPZOOM","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/downsampled/H19.33.004-A1-GFAP-analysis/H19.33.004-A1-GFAP-analysis.dzi",NA
"20","SUBREGION_ANNOTATIONS_XML","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/analysis_masks/H19.33.004-A1-GFAP_Layer1_analysis.annotations","Layer1"
"21","SUBREGION_ANNOTATIONS_XML","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/analysis_masks/H19.33.004-A1-GFAP_Layer2_analysis.annotations","Layer2"
"22","SUBREGION_ANNOTATIONS_XML","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/analysis_masks/H19.33.004-A1-GFAP_Layer3_analysis.annotations","Layer3"
"23","SUBREGION_ANNOTATIONS_XML","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/analysis_masks/H19.33.004-A1-GFAP_Layer4_analysis.annotations","Layer4"
"24","SUBREGION_ANNOTATIONS_XML","GFAP","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-GFAP/analysis_masks/H19.33.004-A1-GFAP_Layer5-6_analysis.annotations","Layer5-6"
"25","RAW_IMAGE_DEEPZOOM","H&E-LFB","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-LFB/downsampled/H19.33.004-A1-LFB-primary/H19.33.004-A1-LFB-primary.dzi",NA
"26","RAW_IMAGE","H&E-LFB","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-LFB/H19.33.004-A1-LFB.svs",NA
"27","HALO_ANALYSIS_IMAGE_DEEPZOOM","H&E-LFB","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","",NA
"28","SUBREGION_ANNOTATIONS_XML","H&E-LFB","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","",NA
"29","RAW_IMAGE_DEEPZOOM","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/downsampled/H19.33.004-A01-NEUN-primary/H19.33.004-A01-NEUN-primary.dzi",NA
"30","RAW_IMAGE","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/H19.33.004-A01-NEUN.svs",NA
"31","HALO_ANALYSIS_IMAGE_DEEPZOOM","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/downsampled/H19.33.004-A01-NEUN-analysis/H19.33.004-A01-NEUN-analysis.dzi",NA
"32","SUBREGION_ANNOTATIONS_XML","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/analysis_masks/H19.33.004-A01-NEUN_Layer1_analysis.annotations","Layer1"
"33","SUBREGION_ANNOTATIONS_XML","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/analysis_masks/H19.33.004-A01-NEUN_Layer2_analysis.annotations","Layer2"
"34","SUBREGION_ANNOTATIONS_XML","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/analysis_masks/H19.33.004-A01-NEUN_Layer3_analysis.annotations","Layer3"
"35","SUBREGION_ANNOTATIONS_XML","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/analysis_masks/H19.33.004-A01-NEUN_Layer4_analysis.annotations","Layer4"
"36","SUBREGION_ANNOTATIONS_XML","NeuN","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A01-NEUN/analysis_masks/H19.33.004-A01-NEUN_Layer5-6_analysis.annotations","Layer5-6"
"37","RAW_IMAGE_DEEPZOOM","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/downsampled/H19.33.004-A1-ASYN-primary/H19.33.004-A1-ASYN-primary.dzi",NA
"38","RAW_IMAGE","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/H19.33.004-A1-ASYN.svs",NA
"39","HALO_ANALYSIS_IMAGE_DEEPZOOM","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/downsampled/H19.33.004-A1-ASYN-analysis/H19.33.004-A1-ASYN-analysis.dzi",NA
"40","SUBREGION_ANNOTATIONS_XML","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/analysis_masks/H19.33.004-A1-ASYN_Layer1_analysis.annotations","Layer1"
"41","SUBREGION_ANNOTATIONS_XML","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/analysis_masks/H19.33.004-A1-ASYN_Layer2_analysis.annotations","Layer2"
"42","SUBREGION_ANNOTATIONS_XML","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/analysis_masks/H19.33.004-A1-ASYN_Layer3_analysis.annotations","Layer3"
"43","SUBREGION_ANNOTATIONS_XML","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/analysis_masks/H19.33.004-A1-ASYN_Layer4_analysis.annotations","Layer4"
"44","SUBREGION_ANNOTATIONS_XML","a-Synuclein","H19.33.004","Dorsolateral Prefrontal Cortex (DLPFC)","s3://sea-ad-quantitative-neuropathology/dorsolateral-prefrontal-cortex/H19.33.004/H19.33.004-A1-ASYN/analysis_masks/H19.33.004-A1-ASYN_Layer5-6_analysis.annotations","Layer5-6"
"45","RAW_IMAGE_DEEPZOOM","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/downsampled/H19.33.004-A12-AT-primary/H19.33.004-A12-AT-primary.dzi",NA
"46","RAW_IMAGE","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/H19.33.004-A12-AT.svs",NA
"47","HALO_ANALYSIS_IMAGE_DEEPZOOM","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/downsampled/H19.33.004-A12-AT-analysis/H19.33.004-A12-AT-analysis.dzi",NA
"48","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA1-L_analysis.annotations","CA1-L"
"49","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA1-R_analysis.annotations","CA1-R"
"50","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA2-L_analysis.annotations","CA2-L"
"51","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA2-R_analysis.annotations","CA2-R"
"52","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA3-L_analysis.annotations","CA3-L"
"53","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA3-R_analysis.annotations","CA3-R"
"54","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA4-L_analysis.annotations","CA4-L"
"55","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_CA4-R_analysis.annotations","CA4-R"
"56","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_DG-L_analysis.annotations","DG-L"
"57","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_DG-R_analysis.annotations","DG-R"
"58","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_EC-L_analysis.annotations","EC-L"
"59","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_EC-R_analysis.annotations","EC-R"
"60","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_SB-L_analysis.annotations","SB-L"
"61","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_SB-R_analysis.annotations","SB-R"
"62","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_TEC-L_analysis.annotations","TEC-L"
"63","SUBREGION_ANNOTATIONS_XML","AT8","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-AT/analysis_masks/H19.33.004-A12-AT_TEC-R_analysis.annotations","TEC-R"
"64","RAW_IMAGE_DEEPZOOM","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/downsampled/H19.33.004-A12-I6-primary/H19.33.004-A12-I6-primary.dzi",NA
"65","RAW_IMAGE","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/H19.33.004-A12-I6.svs",NA
"66","HALO_ANALYSIS_IMAGE_DEEPZOOM","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/downsampled/H19.33.004-A12-I6-analysis/H19.33.004-A12-I6-analysis.dzi",NA
"67","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA1-L_analysis.annotations","CA1-L"
"68","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA1-R_analysis.annotations","CA1-R"
"69","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA2-L_analysis.annotations","CA2-L"
"70","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA2-R_analysis.annotations","CA2-R"
"71","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA3-L_analysis.annotations","CA3-L"
"72","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA3-R_analysis.annotations","CA3-R"
"73","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA4-L_analysis.annotations","CA4-L"
"74","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_CA4-R_analysis.annotations","CA4-R"
"75","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_DG-L_analysis.annotations","DG-L"
"76","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_DG-R_analysis.annotations","DG-R"
"77","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_EC-L_analysis.annotations","EC-L"
"78","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_EC-R_analysis.annotations","EC-R"
"79","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_SB-L_analysis.annotations","SB-L"
"80","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_SB-R_analysis.annotations","SB-R"
"81","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_TEC-L_analysis.annotations","TEC-L"
"82","SUBREGION_ANNOTATIONS_XML","Abeta (6E10) and IBA1","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-I6/analysis_masks/H19.33.004-A12-I6_TEC-R_analysis.annotations","TEC-R"
"83","RAW_IMAGE_DEEPZOOM","GFAP","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-GFAP/downsampled/H19.33.004-A12-GFAP-primary/H19.33.004-A12-GFAP-primary.dzi",NA
"84","RAW_IMAGE","GFAP","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-GFAP/H19.33.004-A12-GFAP.svs",NA
"85","HALO_ANALYSIS_IMAGE_DEEPZOOM","GFAP","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-GFAP/downsampled/H19.33.004-A12-GFAP-analysis/H19.33.004-A12-GFAP-analysis.dzi",NA
"86","SUBREGION_ANNOTATIONS_XML","GFAP","H19.33.004","Medial Entorhinal Cortex and Hippocampus (MEC-HIP)","s3://sea-ad-quantitative-neuropathology/hippocampus-medial-entorhinal-cortex/H19.33.004/H19.33.004-A12-GFAP/analysis_masks/H19.33.004-A12-GFAP_CA1-L_analysis.annotations","CA1-L"
